,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1
TEMP_1_0,1.0,0.95,,,1.01,0.84,0.75,0.76,,,0.99,0.98,0.81,,0.99,0.78,0.73,0.73,0.68,0.66,0.45,,1.1,0.87
TEMP_0_0,1.06,1.0,,,1.08,0.84,0.83,0.79,,,1.01,1.01,0.82,,1.01,0.85,0.82,0.77,0.73,0.7,0.49,0.38,1.18,0.93
TEMP_1_1,,,1.0,,1.38,,1.03,,,,1.29,1.3,,0.47,1.28,1.03,0.96,0.96,0.91,0.85,,,1.45,1.13
TEMP_0_2,,,,1.0,,,,,0.97,0.62,,,1.4,,1.76,1.43,1.31,1.33,1.23,1.18,,,2.03,1.54
PRES_0_0,0.99,0.92,0.73,,1.0,0.79,,0.76,,,0.96,0.96,0.78,,0.96,0.78,0.73,0.73,0.69,0.65,0.38,0.41,1.09,0.85
PRES_1_0,1.21,1.19,,,1.27,1.0,,,,,1.26,1.17,0.96,,1.2,0.94,0.92,0.87,0.79,0.79,0.6,,1.36,1.13
PRES_0_1,1.34,1.16,0.97,,,,1.0,,,,1.26,1.26,,0.46,1.24,1.02,0.94,0.93,0.89,0.83,0.59,,1.42,1.1
PRES_1_1,1.33,1.28,,,1.29,,,1.0,,,1.15,1.31,1.04,,1.27,1.06,1.0,0.97,0.89,0.89,0.72,,1.49,1.18
PRES_1_3,,,,1.04,,,,,1.0,,,,1.46,,1.83,1.49,1.41,1.38,1.29,1.24,,,2.09,1.64
PRES_1_2,,,,1.62,,,,,,1.0,,,2.22,,2.79,,,,,,,,3.36,2.11
DEWP_1_0,1.02,0.96,0.77,,1.04,0.8,0.79,0.83,,,1.0,1.0,0.75,,1.0,0.79,0.74,0.7,0.71,0.65,,,1.13,0.88
DEWP_0_0,1.03,0.98,0.77,,1.03,0.85,0.79,0.76,,,1.01,1.0,,,0.99,0.82,0.78,0.78,0.69,0.7,0.51,0.4,1.14,0.91
DEWP_0_1,1.24,1.22,,0.73,1.29,1.04,,0.97,0.69,0.48,,,1.0,,1.26,1.02,0.96,0.95,0.88,0.84,0.59,,1.44,1.12
DEWP_1_1,,,2.04,,,,2.09,,,,,,,1.0,2.6,1.93,1.66,,2.15,,,,2.92,
WSPM_0_1,1.01,0.98,0.76,0.57,1.04,0.82,0.8,0.78,0.55,0.37,0.99,1.01,0.8,0.36,1.0,0.85,0.69,0.77,0.74,,,,1.14,0.88
WSPM_0_0,1.25,1.17,0.97,0.69,1.29,1.04,0.98,0.92,0.67,,1.23,1.18,0.98,,1.17,1.0,1.02,0.87,0.85,0.91,,,1.4,1.02
WSPM_1_1,1.38,1.23,1.03,0.74,1.37,1.05,1.04,1.0,0.7,,1.35,1.3,1.02,,1.41,0.99,1.0,1.37,0.78,0.9,,,1.48,1.29
WSPM_1_2,1.38,1.31,1.04,0.7,1.38,1.13,1.07,1.05,0.72,,1.47,1.36,1.05,,1.28,1.13,0.67,1.0,1.18,1.07,,,1.49,1.31
WSPM_1_0,1.45,1.39,1.12,0.82,1.47,1.28,1.12,1.09,0.77,,1.43,1.46,1.14,,1.36,1.18,1.3,0.97,1.0,0.96,,,1.61,1.26
WSPM_0_2,1.55,1.45,1.23,0.85,1.55,1.24,1.26,1.12,0.81,,1.51,1.43,1.19,,,1.07,1.1,0.94,1.1,1.0,,,1.68,1.34
WSPM_1_3,2.38,2.06,,,2.6,1.64,1.7,1.39,,,,2.07,1.68,,,1.4,,,,,1.0,,2.41,2.31
WSPM_0_3,2.23,2.48,,,2.46,,,,,,,2.53,,,,,,,,,,1.0,,2.12
PM10_0,0.9,0.85,0.68,0.49,0.92,0.74,0.7,0.67,0.47,0.29,0.88,0.88,0.69,0.34,0.88,0.71,0.69,0.68,0.62,0.6,0.43,,1.0,0.79
PM10_1,1.14,1.09,0.87,0.65,1.17,0.93,0.9,0.85,0.63,0.43,1.13,1.09,0.9,,1.12,0.89,0.76,0.73,0.78,0.73,,0.47,1.27,1.0
